Masa 1|23.10.2011|53|9,54|62,54
Masa 1|23.10.2011|41|7,38|48,38
Masa 1|23.10.2011|37|6,66|43,66
Masa 14|23.10.2011|35|6,3|41,3
Masa 4|23.10.2011|43|7,74|50,74
Masa 1|23.10.2011|53|9,54|62,54
Masa 1|23.10.2011|18|3,24|21,24
Masa 10|23.10.2011|57|10,26|67,26
Masa 1|23.10.2011|53|9,54|62,54
Masa 7|23.10.2011|28|5,04|33,04
Masa 8|23.10.2011|18|3,24|21,24
Masa 2|23.10.2011|12|2,16|14,16
Masa 3|23.10.2011|24|4,32|28,32
Masa 5|23.10.2011|12|2,16|14,16
Masa 9|18.12.2011|35|6,3|41,3
Bir Masa Seçiniz|27.03.2012|37|6,66|43,66
Bir Masa Seçiniz|27.03.2012|37|6,66|43,66
Masa 2|27.03.2012|37|6,66|43,66
Bir Masa Seçiniz|20.10.2012|25|4,5|29,5
Bir Masa Seçiniz|20.10.2012|25|4,5|29,5
Masa 5|20.10.2012|25|4,5|29,5
